,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
367,xarus (earth-616),secret identity,bad characters,red eyes,blond hair,male characters,deceased characters,9.0,aug-10,2010.0
368,aegir (earth-616),no dual identity,None,None,None,male characters,living characters,2.0,may-81,1981.0
369,sasha yamir (earth-616),public identity,neutral characters,None,black hair,female characters,living characters,2.0,feb-91,1991.0
370,burglar (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,deceased characters,137.0,aug-62,1962.0
371,marci sabol (earth-616),secret identity,neutral characters,brown eyes,blond hair,female characters,deceased characters,6.0,jul-09,2009.0
372,helmut gruler (earth-616),secret identity,good characters,blue eyes,black hair,male characters,deceased characters,17.0,dec-78,1978.0
373,markus ettlinger (earth-616),secret identity,good characters,blue eyes,black hair,male characters,living characters,9.0,jul-91,1991.0
374,gideon blaine (earth-616),None,None,None,brown hair,male characters,living characters,1.0,oct-75,1975.0
375,richard earle amtower iv (earth-616),secret identity,bad characters,None,bald,male characters,living characters,4.0,aug-09,2009.0
376,helleyes (earth-616),secret identity,bad characters,variable eyes,no hair,male characters,living characters,5.0,jun-75,1975.0
377,agent q (earth-616),secret identity,None,None,None,male characters,living characters,1.0,sep-72,1972.0
378,berserker (android) (earth-616),None,bad characters,None,None,male characters,deceased characters,4.0,may-75,1975.0
379,robert jema (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,6.0,may-11,2011.0
380,richard janus (earth-616),public identity,bad characters,brown eyes,brown hair,male characters,living characters,8.0,feb-71,1971.0
381,brock jones (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,deceased characters,35.0,oct-75,1975.0
382,albert wanton (earth-616),None,bad characters,None,None,male characters,living characters,3.0,may-94,1994.0
383,linda donaldson (earth-616),None,None,None,None,female characters,living characters,9.0,mar-72,1972.0
384,martine bancroft (earth-616),None,None,red eyes,blond hair,female characters,deceased characters,43.0,nov-71,1971.0
385,lichidus (earth-616),no dual identity,bad characters,purple eyes,bald,male characters,living characters,5.0,None,None
386,angela cairn (earth-616),secret identity,good characters,white eyes,blond hair,female characters,living characters,7.0,jul-92,1992.0
387,lord moses (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,6.0,dec-94,1994.0
388,daniel sylva (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,4.0,nov-08,2008.0
389,harpy (earth-616),None,bad characters,None,yellow hair,female characters,living characters,1.0,dec-85,1985.0
390,magdalena marie (earth-616),public identity,None,brown eyes,black hair,female characters,living characters,15.0,sep-07,2007.0
391,sheath (earth-616),secret identity,bad characters,None,green hair,female characters,living characters,2.0,None,None
392,campbell saint-ange (earth-616),None,good characters,brown eyes,blond hair,male characters,living characters,6.0,sep-04,2004.0
393,mogul of the mystic mountain (earth-616),None,bad characters,hazel eyes,black hair,male characters,living characters,11.0,feb-67,1967.0
394,hunk hondo (earth-616),public identity,bad characters,hazel eyes,brown hair,male characters,living characters,1.0,mar-64,1964.0
395,archon (earth-616),secret identity,good characters,None,None,male characters,living characters,3.0,aug-10,2010.0
396,travis nevins (earth-616),None,None,None,None,male characters,living characters,3.0,dec-09,2009.0
397,vranx (earth-616),secret identity,bad characters,green eyes,no hair,male characters,living characters,2.0,feb-94,1994.0
398,perry palette (earth-616),no dual identity,good characters,None,black hair,male characters,living characters,2.0,aug-48,1948.0
399,sumner beckwith (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,living characters,3.0,jan-92,1992.0
400,paburo (earth-616),secret identity,bad characters,None,None,male characters,living characters,3.0,None,None
401,moran (earth-616),None,bad characters,None,None,male characters,living characters,2.0,jan-78,1978.0
402,butch (angel foe) (earth-616),secret identity,bad characters,None,bald,male characters,deceased characters,1.0,feb-40,1940.0
403,tar (earth-616),secret identity,None,None,None,male characters,deceased characters,7.0,feb-96,1996.0
404,dionysus acratophorus (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,26.0,apr-49,1949.0
405,daniel kaufman (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,5.0,aug-04,2004.0
406,claire temple (earth-616),no dual identity,good characters,brown eyes,black hair,female characters,living characters,45.0,aug-72,1972.0
407,basil sandhurst (earth-616),secret identity,bad characters,white eyes,black hair,male characters,living characters,67.0,apr-69,1969.0
408,assassin (maria) (earth-616),secret identity,bad characters,None,black hair,female characters,deceased characters,2.0,mar-76,1976.0
409,fiona mcmurdo (earth-616),None,None,None,blond hair,female characters,living characters,2.0,jan-82,1982.0
410,craig hollis (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,32.0,jul-89,1989.0
411,marcus coriander (earth-616),public identity,bad characters,blue eyes,brown hair,male characters,living characters,2.0,mar-86,1986.0
412,joelle guthrie (earth-616),public identity,neutral characters,None,brown hair,female characters,living characters,7.0,nov-84,1984.0
413,roland treece (earth-616),None,None,None,None,male characters,living characters,11.0,mar-88,1988.0
414,fletcher (earth-616),public identity,good characters,None,grey hair,female characters,living characters,2.0,dec-94,1994.0
415,thermatron (earth-616),secret identity,bad characters,None,no hair,None,living characters,1.0,jun-78,1978.0
416,miles warbeck (earth-616),secret identity,None,None,brown hair,male characters,deceased characters,2.0,dec-01,2001.0
417,leslie evans (earth-616),no dual identity,good characters,None,black hair,male characters,living characters,1.0,nov-60,1960.0
418,francis klum (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,17.0,aug-02,2002.0
419,paul patterson (earth-616),None,bad characters,None,None,male characters,living characters,7.0,jan-05,2005.0
420,wendy sherman (earth-616),secret identity,neutral characters,blue eyes,white hair,female characters,living characters,8.0,jun-86,1986.0
421,brona (earth-616),secret identity,None,None,None,male characters,living characters,8.0,aug-67,1967.0
422,arthur delacourte (earth-616),secret identity,bad characters,red eyes,None,male characters,living characters,2.0,feb-00,2000.0
423,alvin martinike (earth-616),secret identity,bad characters,None,bald,male characters,living characters,1.0,mar-46,1946.0
424,winsor (earth-616),None,bad characters,blue eyes,black hair,male characters,deceased characters,9.0,feb-11,2011.0
425,carolyn schist (earth-616),no dual identity,neutral characters,blue eyes,brown hair,female characters,living characters,1.0,nov-74,1974.0
426,james bourne (earth-616),public identity,neutral characters,brown eyes,None,male characters,living characters,44.0,oct-86,1986.0
427,longnails legarya (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,may-42,1942.0
428,aquarius (lmd) (earth-616),secret identity,bad characters,None,blond hair,male characters,living characters,8.0,jul-77,1977.0
429,zombie (howling commandos) (earth-616),secret identity,None,None,no hair,male characters,living characters,3.0,dec-05,2005.0
430,jason struthers (earth-616),None,bad characters,None,red hair,male characters,living characters,1.0,may-78,1978.0
431,dean boswell (earth-616),secret identity,good characters,None,no hair,male characters,deceased characters,4.0,feb-03,2003.0
432,john aman (earth-616),secret identity,good characters,blue eyes,bald,male characters,deceased characters,35.0,oct-07,2007.0
433,miss diaz (earth-616),secret identity,bad characters,brown eyes,brown hair,female characters,living characters,2.0,feb-07,2007.0
434,sangre (children of the vault) (earth-616),secret identity,bad characters,None,bald,male characters,living characters,5.0,sep-06,2006.0
435,hack (mutant) (earth-616),None,good characters,None,black hair,male characters,living characters,8.0,aug-04,2004.0
436,kingmaker (wallace) (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,4.0,jul-05,2005.0
437,maria castle (earth-616),None,neutral characters,brown eyes,blond hair,female characters,deceased characters,17.0,aug-75,1975.0
438,killer casey (earth-616),secret identity,bad characters,None,bald,male characters,living characters,2.0,jun-41,1941.0
439,matilda (nowhere) (earth-616),secret identity,bad characters,None,grey hair,female characters,living characters,1.0,aug-42,1942.0
440,rigo zapata (earth-616),None,bad characters,brown eyes,None,male characters,living characters,9.0,apr-09,2009.0
441,torran (earth-616),public identity,good characters,blue eyes,bald,male characters,living characters,4.0,sep-11,2011.0
442,phil fox (earth-616),None,good characters,None,None,male characters,living characters,11.0,dec-72,1972.0
443,peter parker (guardian) (earth-616),secret identity,bad characters,hazel eyes,brown hair,male characters,deceased characters,3.0,mar-95,1995.0
444,punchy (earth-616),None,None,None,blond hair,male characters,living characters,1.0,oct-64,1964.0
445,pinky fusser (earth-616),None,None,grey eyes,black hair,male characters,living characters,1.0,sep-80,1980.0
446,john watkins jr. (earth-616),secret identity,good characters,None,blond hair,male characters,deceased characters,2.0,mar-02,2002.0
447,mary wilson (earth-616),no dual identity,good characters,None,black hair,female characters,living characters,3.0,dec-53,1953.0
448,paul domenic (earth-616),secret identity,None,None,None,male characters,living characters,2.0,dec-85,1985.0
449,randall crowne (earth-616),public identity,bad characters,brown eyes,brown hair,male characters,living characters,11.0,apr-08,2008.0
450,william talltrees (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,34.0,sep-70,1970.0
451,frankie kollins (earth-616),public identity,None,None,None,male characters,living characters,2.0,jul-08,2008.0
452,darnak (earth-616),None,None,None,white hair,male characters,living characters,2.0,feb-77,1977.0
453,sentinel a (earth-616),secret identity,bad characters,None,None,None,deceased characters,1.0,dec-65,1965.0
454,heather glenn (earth-616),no dual identity,good characters,blue eyes,black hair,female characters,deceased characters,62.0,oct-75,1975.0
455,rojas (earth-616),no dual identity,None,None,black hair,female characters,deceased characters,3.0,feb-04,2004.0
456,philip watson (earth-616),None,None,None,None,male characters,living characters,9.0,dec-84,1984.0
457,ignatz goldman (earth-616),public identity,bad characters,None,white hair,male characters,living characters,1.0,feb-77,1977.0
458,lily cromwell (earth-616),secret identity,bad characters,blue eyes,blond hair,female characters,living characters,6.0,dec-98,1998.0
459,carina walters (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,15.0,jan-78,1978.0
460,hank (earth-616),public identity,neutral characters,None,blond hair,male characters,living characters,1.0,jan-88,1988.0
461,"phillip cussler, jr. (earth-616)",public identity,None,blue eyes,black hair,male characters,living characters,2.0,aug-94,1994.0
462,rupert helona (earth-616),secret identity,bad characters,None,None,male characters,living characters,11.0,dec-92,1992.0
463,robert diamond (earth-616),no dual identity,good characters,blue eyes,blond hair,male characters,living characters,58.0,apr-74,1974.0
464,laynia petrovna (earth-616),secret identity,good characters,brown eyes,blond hair,female characters,living characters,84.0,aug-76,1976.0
465,jeff turner (earth-616),no dual identity,good characters,None,None,male characters,living characters,10.0,aug-75,1975.0
466,sponge (earth-616),secret identity,neutral characters,None,black hair,female characters,living characters,3.0,mar-93,1993.0
467,infant terrible (earth-616),None,neutral characters,green eyes,no hair,male characters,living characters,8.0,mar-64,1964.0
468,gothog (earth-616),no dual identity,None,None,no hair,male characters,living characters,1.0,nov-85,1985.0
469,richard deacon (earth-616),secret identity,neutral characters,red eyes,brown hair,male characters,living characters,34.0,nov-76,1976.0
470,"annie (noh-varr, construct) (earth-616)",secret identity,good characters,brown eyes,black hair,female characters,living characters,4.0,None,None
471,geatar (earth-616),None,bad characters,orange eyes,no hair,male characters,living characters,20.0,jun-90,1990.0
472,caleb walker (earth-616),public identity,good characters,None,None,male characters,living characters,4.0,sep-88,1988.0
473,sack (earth-616),secret identity,bad characters,None,no hair,male characters,deceased characters,15.0,aug-95,1995.0
474,john walker (earth-616),secret identity,good characters,blue eyes,blond hair,male characters,living characters,346.0,nov-86,1986.0
475,charles moss (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,12.0,sep-02,2002.0
476,zahnmorder (earth-616),secret identity,bad characters,brown eyes,bald,male characters,deceased characters,4.0,sep-91,1991.0
477,george hill (earth-616),None,bad characters,None,black hair,male characters,living characters,3.0,mar-83,1983.0
478,harriet munroe (earth-616),None,good characters,brown eyes,grey hair,female characters,living characters,4.0,jul-06,2006.0
479,jan (earth-616),None,None,black eyes,brown hair,female characters,living characters,1.0,jul-81,1981.0
480,stan lee (earth-616),no dual identity,good characters,brown eyes,black hair,male characters,living characters,54.0,jan-63,1963.0
481,bella blaire (earth-616),no dual identity,neutral characters,blue eyes,grey hair,female characters,living characters,12.0,mar-81,1981.0
482,dr. burke (earth-616),public identity,None,black eyes,red hair,female characters,living characters,2.0,jan-08,2008.0
483,valeria (fifth dimension) (earth-616),None,good characters,None,black hair,female characters,living characters,6.0,dec-62,1962.0
484,turoq (earth-616),None,good characters,None,None,male characters,living characters,7.0,feb-84,1984.0
485,tammuz (earth-616),None,None,None,None,male characters,living characters,2.0,sep-73,1973.0
486,madcap (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,36.0,jul-85,1985.0
487,sayge (earth-616),None,neutral characters,None,None,None,living characters,16.0,mar-67,1967.0
488,porky (earth-616),None,None,None,brown hair,male characters,living characters,2.0,apr-64,1964.0
489,erich eisenhardt (earth-616),None,good characters,blue eyes,black hair,male characters,deceased characters,3.0,nov-08,2008.0
490,christina carr (earth-616),secret identity,bad characters,blue eyes,black hair,female characters,living characters,2.0,sep-99,1999.0
491,stefan of symkaria (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,2.0,may-94,1994.0
492,dorothy alleyne (earth-616),secret identity,good characters,brown eyes,brown hair,female characters,living characters,2.0,oct-03,2003.0
493,kogar (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,4.0,jul-78,1978.0
494,anton devine (earth-616),None,None,None,None,male characters,living characters,2.0,apr-94,1994.0
495,sporr (amoeba mutate) (earth-616),public identity,neutral characters,None,no hair,None,living characters,2.0,sep-60,1960.0
496,harold harold (earth-616),no dual identity,None,brown eyes,brown hair,male characters,deceased characters,36.0,oct-75,1975.0
497,carolina washington (earth-616),public identity,bad characters,None,black hair,female characters,living characters,6.0,dec-11,2011.0
498,kevin tremain (earth-616),secret identity,bad characters,red eyes,black hair,male characters,deceased characters,18.0,mar-96,1996.0
499,geirrodur (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,31.0,feb-64,1964.0
500,william taurey (earth-616),no dual identity,bad characters,None,grey hair,male characters,living characters,6.0,feb-76,1976.0
501,hercules (empowered marvel boy) (earth-616),secret identity,good characters,None,None,male characters,living characters,1.0,mar-43,1943.0
502,ellie phimister (earth-616),secret identity,neutral characters,black eyes,black hair,female characters,deceased characters,14.0,aug-01,2001.0
503,soapbox (earth-616),None,good characters,blue eyes,blond hair,male characters,living characters,5.0,may-11,2011.0
504,choo-choo charley (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,1.0,jun-44,1944.0
505,jesse johns (earth-616),public identity,None,green eyes,black hair,male characters,living characters,2.0,sep-84,1984.0
506,baxu (earth-616),no dual identity,None,None,red hair,male characters,deceased characters,1.0,jul-63,1963.0
507,taj nital (earth-616),no dual identity,good characters,red eyes,black hair,male characters,living characters,25.0,jul-72,1972.0
508,mutaurus (earth-616),public identity,bad characters,red eyes,None,male characters,deceased characters,3.0,aug-67,1967.0
509,scatter (lilin) (earth-616),secret identity,bad characters,None,red hair,male characters,living characters,2.0,dec-93,1993.0
510,rodney adams (earth-616),public identity,neutral characters,None,blond hair,male characters,living characters,1.0,mar-46,1946.0
511,ellie roberts (earth-616),None,None,None,None,female characters,living characters,14.0,apr-72,1972.0
512,adri nital (earth-616),no dual identity,bad characters,red eyes,black hair,male characters,deceased characters,7.0,jan-75,1975.0
513,tandy snow (earth-616),None,good characters,None,black hair,female characters,living characters,4.0,feb-76,1976.0
514,birdbeast (earth-616),no dual identity,bad characters,None,no hair,None,living characters,1.0,mar-90,1990.0
515,yagzan (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,18.0,aug-74,1974.0
516,jebediah fate (earth-616),secret identity,None,variable eyes,variable hair,male characters,living characters,11.0,jan-75,1975.0
517,dionysus (eternal) (earth-616),None,bad characters,None,brown hair,male characters,living characters,3.0,jan-79,1979.0
518,duvid fortunov (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,57.0,aug-75,1975.0
519,sara krowler (earth-616),None,bad characters,None,brown hair,female characters,deceased characters,2.0,aug-89,1989.0
520,conrad turing (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,living characters,2.0,None,None
521,tom fagan (earth-616),public identity,good characters,None,blond hair,male characters,living characters,6.0,dec-70,1970.0
522,lo-zar (earth-616),None,good characters,None,blond hair,male characters,living characters,6.0,oct-54,1954.0
523,amanda fairmont (earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,living characters,14.0,jul-98,1998.0
524,ben vincent (earth-616),no dual identity,None,None,black hair,male characters,living characters,3.0,jul-74,1974.0
525,mosha (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,7.0,dec-99,1999.0
526,pom pom (earth-616),public identity,good characters,black eyes,black hair,female characters,living characters,4.0,None,None
527,father mcfarland (earth-616),None,good characters,None,None,male characters,deceased characters,1.0,apr-80,1980.0
528,jennifer leigh (earth-616),no dual identity,neutral characters,blue eyes,blond hair,female characters,living characters,7.0,mar-04,2004.0
529,gabby harris (earth-616),None,bad characters,None,black hair,male characters,living characters,1.0,apr-40,1940.0
530,bekka wallis (earth-616),no dual identity,good characters,None,black hair,female characters,deceased characters,2.0,jan-06,2006.0
531,samuel clemens (robot) (earth-616),public identity,None,brown eyes,white hair,male characters,living characters,1.0,may-83,1983.0
532,s.h.i.v.a. (earth-616),None,None,red eyes,no hair,None,living characters,7.0,jan-92,1992.0
533,joshua link (earth-616),secret identity,bad characters,blue eyes,white hair,male characters,deceased characters,15.0,jan-70,1970.0
534,allen rosnim (earth-616),public identity,bad characters,None,brown hair,male characters,living characters,1.0,dec-45,1945.0
535,warden jzemlico (earth-616),None,good characters,None,None,male characters,living characters,4.0,jun-93,1993.0
536,edward tancredi (earth-616),secret identity,good characters,green eyes,red hair,male characters,deceased characters,9.0,sep-04,2004.0
537,gregory smith (earth-616),secret identity,bad characters,None,white hair,male characters,deceased characters,1.0,jan-45,1945.0
538,oliver broadhurst (earth-616),public identity,good characters,None,bald,male characters,living characters,3.0,jul-77,1977.0
539,k\u0101ne milohai (earth-616),None,None,black eyes,white hair,male characters,living characters,1.0,oct-80,1980.0
540,gloria angel (earth-616),secret identity,good characters,blue eyes,grey hair,female characters,living characters,13.0,sep-91,1991.0
541,rootar (earth-616),public identity,None,None,no hair,male characters,living characters,7.0,mar-95,1995.0
542,pyron (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,apr-81,1981.0
543,doctor herzog (earth-616),public identity,bad characters,None,black hair,male characters,deceased characters,1.0,mar-45,1945.0
544,shogo lee (earth-616),no dual identity,neutral characters,brown eyes,black hair,male characters,living characters,19.0,None,None
545,montenegro (earth-616),None,bad characters,brown eyes,red hair,male characters,living characters,2.0,jul-81,1981.0
546,jat vor-thrul (earth-616),secret identity,good characters,blue eyes,bald,male characters,living characters,13.0,mar-09,2009.0
547,cary grant (earth-616),None,neutral characters,brown eyes,brown hair,male characters,living characters,1.0,nov-83,1983.0
548,derek petrie (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,nov-07,2007.0
549,antaeus (earth-616),no dual identity,bad characters,None,brown hair,male characters,living characters,2.0,jun-45,1945.0
550,albert rackham (earth-616),no dual identity,bad characters,brown eyes,black hair,male characters,deceased characters,14.0,jun-72,1972.0
551,anky (earth-616),no dual identity,bad characters,None,no hair,male characters,living characters,3.0,apr-93,1993.0
552,biotron ii (earth-616),no dual identity,good characters,None,None,None,living characters,17.0,may-84,1984.0
553,korr (ant) (earth-616),None,good characters,None,None,None,deceased characters,1.0,sep-63,1963.0
554,lee bradford (earth-616),public identity,good characters,None,None,male characters,living characters,1.0,mar-43,1943.0
555,ralph caccone (earth-616),public identity,good characters,None,None,female characters,living characters,8.0,nov-74,1974.0
556,mister mayhem (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,aug-82,1982.0
557,stephen beckley (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,19.0,feb-87,1987.0
558,manchuria mary (earth-616),public identity,bad characters,None,black hair,female characters,deceased characters,5.0,feb-53,1953.0
559,heath benson (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,dec-63,1963.0
560,flea-market eating flea (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,1.0,jan-82,1982.0
561,federico valencia (earth-616),None,bad characters,None,brown hair,male characters,living characters,4.0,jun-02,2002.0
562,ernst sablinova (earth-616),secret identity,good characters,blue eyes,silver hair,male characters,living characters,17.0,jun-92,1992.0
563,spinnerette (earth-616),None,neutral characters,blue eyes,None,female characters,living characters,1.0,dec-81,1981.0
564,carl hanson (earth-616),secret identity,good characters,None,None,male characters,living characters,5.0,nov-60,1960.0
565,virago (earth-616),None,bad characters,orange eyes,green hair,female characters,living characters,4.0,aug-73,1973.0
566,elaine banner (earth-616),None,None,brown eyes,blond hair,female characters,deceased characters,3.0,apr-81,1981.0
567,zero (kurakill) (earth-616),None,good characters,None,None,male characters,living characters,1.0,oct-75,1975.0
568,marie-ange colbert (earth-616),secret identity,neutral characters,green eyes,red hair,female characters,deceased characters,38.0,jun-84,1984.0
569,fiona rivera (earth-616),secret identity,good characters,blue eyes,brown hair,female characters,living characters,4.0,jan-95,1995.0
570,purge (the arena) (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,feb-04,2004.0
571,brunnhilde (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,361.0,dec-70,1970.0
572,hydra queen (grace) (earth-616),None,bad characters,green eyes,brown hair,female characters,living characters,10.0,oct-11,2011.0
573,quantum mechanic (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,nov-89,1989.0
574,barth bukowski (earth-616),None,good characters,None,blond hair,male characters,living characters,3.0,apr-79,1979.0
575,emory simpson (earth-616),public identity,good characters,None,black hair,male characters,living characters,2.0,may-72,1972.0
576,dark (soldiers of misfortune) (earth-616),None,None,None,None,female characters,living characters,5.0,dec-94,1994.0
577,knobby (earth-616),None,good characters,None,None,None,living characters,4.0,dec-42,1942.0
578,tim sullivan (earth-616),secret identity,bad characters,None,blond hair,male characters,living characters,4.0,jan-03,2003.0
579,ixar (earth-616),secret identity,bad characters,blue eyes,white hair,male characters,living characters,6.0,jan-67,1967.0
580,grimgerda (earth-616),None,neutral characters,None,blond hair,female characters,living characters,1.0,oct-66,1966.0
581,gunther bain (earth-616),secret identity,bad characters,blue eyes,black hair,male characters,deceased characters,51.0,nov-64,1964.0
582,gullveig (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,4.0,oct-12,2012.0
583,fredrich roth (earth-616),public identity,bad characters,None,bald,male characters,deceased characters,1.0,sep-40,1940.0
584,ghost rider (native american) (earth-616),secret identity,None,red eyes,no hair,male characters,living characters,2.0,may-09,2009.0
585,arthur shaman (earth-616),None,bad characters,None,black hair,male characters,living characters,1.0,mar-78,1978.0
586,firestryke (earth-616),secret identity,bad characters,None,black hair,female characters,living characters,4.0,oct-93,1993.0
587,eric ward (earth-616),public identity,bad characters,None,brown hair,male characters,living characters,1.0,mar-43,1943.0
588,brightwind (earth-616),None,None,red eyes,black hair,male characters,living characters,44.0,None,None
589,porous (earth-616),secret identity,bad characters,None,None,male characters,living characters,4.0,jan-03,2003.0
590,colonel zinzer (earth-616),public identity,bad characters,None,brown hair,male characters,deceased characters,1.0,oct-42,1942.0
591,gert hauptmann (earth-616),None,None,None,None,male characters,deceased characters,7.0,jul-78,1978.0
592,drayson (earth-616),no dual identity,neutral characters,None,None,female characters,living characters,2.0,dec-39,1939.0
593,robot delta (earth-616),secret identity,None,None,None,None,deceased characters,2.0,jun-66,1966.0
594,tokkots (earth-616),None,bad characters,None,None,male characters,living characters,8.0,feb-99,1999.0
595,parul kurinji (earth-616),secret identity,bad characters,None,black hair,female characters,living characters,13.0,nov-10,2010.0
596,grover raymond (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,10.0,feb-74,1974.0
597,martha paterson (earth-616),secret identity,bad characters,blue eyes,None,female characters,living characters,5.0,oct-95,1995.0
598,torpedo turner (earth-616),secret identity,bad characters,None,brown hair,male characters,deceased characters,1.0,jun-48,1948.0
599,catherine saint (earth-616),None,bad characters,None,None,female characters,deceased characters,2.0,oct-73,1973.0
600,oscar (earth-616),no dual identity,bad characters,brown eyes,brown hair,male characters,deceased characters,2.0,jul-03,2003.0
601,crawling creature (earth-616),secret identity,bad characters,None,None,None,living characters,1.0,aug-61,1961.0
602,obb (earth-616),no dual identity,neutral characters,white eyes,no hair,male characters,living characters,3.0,apr-11,2011.0
603,thomas sorenson (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,living characters,16.0,oct-90,1990.0
604,revanche (kwannon) (earth-616),secret identity,good characters,blue eyes,black hair,female characters,deceased characters,26.0,dec-89,1989.0
605,stampede (earth-616),secret identity,bad characters,None,blond hair,female characters,living characters,2.0,jun-95,1995.0
606,arthur barrington (earth-616),no dual identity,good characters,None,grey hair,male characters,deceased characters,2.0,mar-92,1992.0
607,simon walterson (earth-616),secret identity,good characters,None,no hair,male characters,living characters,20.0,feb-86,1986.0
608,billy wheeler (earth-616),None,None,black eyes,black hair,male characters,living characters,1.0,aug-87,1987.0
609,6r (earth-616),None,bad characters,None,None,None,deceased characters,1.0,jul-69,1969.0
610,iron brain (earth-616),secret identity,bad characters,None,grey hair,male characters,deceased characters,1.0,feb-49,1949.0
611,jamil (earth-616),secret identity,bad characters,black eyes,black hair,male characters,deceased characters,5.0,dec-94,1994.0
612,phaedra (marvel uk) (earth-616),None,None,None,None,female characters,living characters,3.0,mar-92,1992.0
613,straw man (earth-616),secret identity,good characters,red eyes,yellow hair,male characters,living characters,12.0,aug-75,1975.0
614,ben gallagher (earth-616),secret identity,good characters,None,brown hair,male characters,deceased characters,11.0,None,None
615,margaret voelker,None,None,None,None,female characters,living characters,1.0,nov-90,1990.0
616,joel drake (earth-616),secret identity,None,brown eyes,brown hair,male characters,living characters,2.0,dec-84,1984.0
617,sir hogg (earth-616),secret identity,good characters,None,None,male characters,living characters,1.0,jun-78,1978.0
618,headhunter (mutant) (earth-616),secret identity,bad characters,red eyes,red hair,female characters,living characters,11.0,may-90,1990.0
619,man in the steel mask (earth-616),secret identity,bad characters,None,bald,male characters,living characters,1.0,feb-44,1944.0
620,charles shaddock (earth-616),no dual identity,bad characters,None,black hair,male characters,living characters,6.0,nov-92,1992.0
621,boris (latverian) (earth-616),no dual identity,neutral characters,None,grey hair,male characters,living characters,15.0,sep-64,1964.0
622,fred davis jr. (earth-616),secret identity,good characters,blue eyes,white hair,male characters,deceased characters,81.0,aug-45,1945.0
623,jordan dixon (earth-616),public identity,bad characters,None,None,male characters,deceased characters,11.0,jan-73,1973.0
624,amanda batavides (earth-616),None,good characters,None,blond hair,female characters,living characters,20.0,mar-86,1986.0
625,gullywhump (earth-616),None,good characters,None,no hair,None,living characters,3.0,feb-86,1986.0
626,dwight stanford (earth-616),public identity,None,None,red hair,male characters,living characters,1.0,mar-79,1979.0
627,lockheed (earth-616),secret identity,good characters,None,no hair,male characters,living characters,260.0,feb-83,1983.0
628,frank jenks (earth-616),None,good characters,None,None,male characters,living characters,2.0,jan-73,1973.0
629,lonnie shakespeare (earth-616),public identity,None,None,black hair,male characters,living characters,3.0,aug-04,2004.0
630,gerry lequarre (earth-616),None,None,None,None,male characters,living characters,11.0,jan-97,1997.0
631,lynne harris (earth-616),public identity,good characters,blue eyes,blond hair,female characters,living characters,11.0,aug-40,1940.0
632,tinta (earth-616),None,good characters,None,None,None,living characters,2.0,oct-78,1978.0
633,gyre (twisted sisters) (earth-616),None,bad characters,None,None,female characters,living characters,3.0,may-99,1999.0
634,sala\u1e25 ad-din yusuf ibn ayyub (earth-616),public identity,neutral characters,None,black hair,male characters,deceased characters,3.0,jan-49,1949.0
635,cyclops (lobe) (earth-616),secret identity,neutral characters,None,black hair,male characters,living characters,5.0,jan-11,2011.0
636,zuni (earth-616),no dual identity,good characters,None,black hair,female characters,living characters,1.0,mar-78,1978.0
637,ballistik (earth-616),None,bad characters,None,red hair,female characters,living characters,2.0,dec-93,1993.0
